BeerID,Name,Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount,UserId
129,Dreaded Christmas Ale -SBA,Holiday/Winter Special Spiced Beer,85,45.42,1.066,1.017,6.42,16.31,20.3,53,75,1.048,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,14477
130,Lagunitas Brewing Co.- Lagunitas IPA Clone...,American IPA,7,20.82,1.059,1.015,5.82,73.67,7.22,13.25,60,1.093,70,N/A,Specific Gravity,Partial Mash,0.75,21.11,Corn Sugar,N/A,20681
131,NEIPA | Tired Hands Milkshake (approximation...,Double IPA,56,21,1.066,1.017,6.42,63.89,6.22,25,70,1.05,72,N/A,Specific Gravity,BIAB,1,18,N/A,N/A,54364
132,Grapefruit Honey Ale,American IPA,7,3.79,1.057,1.016,5.38,46.29,7.1,4.73,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,honey,3 tablespoons,2824
133,Campfire Stout,Oatmeal Stout,114,18.93,1.116,1.029,11.44,113.19,40,15.52,60,N/A,70,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
134,Hill Farmstead Edward Clone,American Pale Ale,10,10.6,1.054,1.013,5.32,51.73,4.65,14.38,60,1.04,70,1.5,Specific Gravity,All Grain,0.75,17.78,N/A,N/A,
135,Oatmeal IPA,American IPA,7,19.87,1.061,1.008,6.92,48.4,10.53,28.39,90,N/A,60,N/A,Specific Gravity,All Grain,1,20,N/A,N/A,9916
136,Goose Island 312,American Wheat or Rye Beer,15,18.93,1.045,1.012,4.21,20.55,3.73,24.61,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,corn sugar,4 oz,
137,Cascadian Dark Ale (Black IPA),American IPA,7,45.42,1.067,1.017,6.64,113.49,31.85,64.35,90,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,380
138,Rebel IPA,American IPA,7,20.82,1.061,1.011,6.58,37.83,9.38,28.39,60,1.045,75,1.5,Specific Gravity,All Grain,1,15.56,N/A,N/A,5889
139,ESB (Single hop: EKG),Extra Special/Strong Bitter (ESB),68,10,1.057,1.014,5.75,34.85,9.74,12,70,1.048,80,N/A,Specific Gravity,All Grain,0.75,19,Dextrose,N/A,
140,Great Lakes Christmas Ale Clone,Winter Seasonal Beer,174,22.71,1.072,1.017,7.31,28.98,11,30.7,60,1.053,70,N/A,Specific Gravity,BIAB,0.35,21.11,N/A,N/A,39433
141,Bell's Two Hearted Ale Clone,American IPA,7,20.82,1.067,1.014,7,50.85,5.6,28.39,60,1.049,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,5889
142,Pale Ale - Bee's Knees Haus Pale - 10 gal...,American Pale Ale,10,37.85,1.049,1.01,5.06,33.49,8.76,41.64,60,1.044,85,1.25,Specific Gravity,All Grain,0.75,18.33,N/A,N/A,16332
143,Rochefort 10 clone,Belgian Dark Strong Ale,21,20.82,1.109,1.027,10.72,46.81,40,27.44,90,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,955
144,Bakke Brygg JuleAle 2016 20 l,American Brown Ale,6,20,1.064,1.014,6.54,42.06,20.91,25,90,1.051,69,3,Specific Gravity,All Grain,1,17,Sukkerlake,5 5 g sukker/liter,18325
145,Blitz Weinhard Clone,Standard American Lager,156,41.64,1.042,1.01,4.23,10.98,3.21,49.21,90,N/A,72,N/A,Specific Gravity,All Grain,N/A,N/A,CO2,Keg @ 10 psi,
146,Wake n Bake - Double Espresso Imperial Oatme...,American Stout,12,20.06,1.076,1.021,7.61,64.24,39.37,26.5,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,Add in last 5 of boil,32 oz,737
147,Erdinger clone,Weizen/Weissbier,170,19.87,1.042,1.011,4.14,16.71,3.66,17.03,60,1.049,35,N/A,Specific Gravity,extract,N/A,18.33,Corn Sugar,8.9 ounce,4183
148,Speedway Stout Clone,Russian Imperial Stout,132,14.2,1.124,1.024,13.24,69.09,40,23.66,90,1.075,80.1,1.5,Specific Gravity,All Grain,N/A,20,N/A,N/A,
149,Al's Amber Bock Clone,Traditional Bock,163,20.82,1.072,1.019,6.87,27.11,20.88,26.5,60,1.056,75,N/A,Specific Gravity,All Grain,2,10,corn sugar,N/A,365
150,Jeremy Corbeeryn (Hoppy Red Ale),American Amber Ale,4,28,1.055,1.012,5.82,44.62,18.72,28,30,1.055,75,N/A,Specific Gravity,BIAB,0.75,18,N/A,N/A,52625
151,Kentucky Bourbon Barrel Ale,Wood-Aged Beer,176,18.93,1.099,1.033,8.62,20.79,37.22,22.71,60,1.082,70,1.25,Specific Gravity,All Grain,N/A,20,priming sugar,7 ozs,
152,Julius Clone BYO,American IPA,7,4.73,1.069,1.015,7.11,30.11,5.04,7.57,45,1.043,72,1.3,Specific Gravity,All Grain,N/A,17.78,N/A,N/A,
153,Bakke Brygg American Red Ale 25 L,American Amber Ale,4,25,1.065,1.015,6.61,65.02,16.19,29,90,1.056,74,N/A,Specific Gravity,All Grain,1,18,Sukkerlake,6 5 g sukker/l,18325
154,Hefe Graf (Apple Wheat),Fruit Beer,75,18.93,1.077,1.008,9.08,36.41,10.43,15.14,60,N/A,76,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,737
155,Hunahpu (clone),Russian Imperial Stout,132,22.71,1.13,1.036,12.35,114.57,40,34.07,180,1.086,80,1.25,Specific Gravity,All Grain,1,16.67,Corn sugar,2.5oz,
156,EAST meets WEST Double IPA (Batch #3),Imperial IPA,86,22.71,1.081,1.014,8.82,124.23,5.8,28.39,60,1.059,75,1.33,Specific Gravity,All Grain,0.35,19.44,N/A,N/A,
157,Pineapple Pale,Fruit Beer,75,18.93,1.061,1.011,6.54,69.12,11,22.71,60,N/A,75,N/A,Specific Gravity,extract,N/A,N/A,Corn Sugar,3/4 cup,1477
158,Infinite spunky cage: Session IPA,American Pale Ale,10,30,1.042,1.01,4.24,47.19,9.46,28,60,1.045,81,N/A,Specific Gravity,BIAB,0.75,19,N/A,N/A,52625
159,Cinnamon apple brown ale,Fruit Beer,75,18.93,1.05,1.012,4.89,32.53,18.01,11.36,60,N/A,75,N/A,Specific Gravity,Partial Mash,N/A,N/A,Corn sugar dextrose,.5 oz,
160,Highlander Chocolate Coffee Porter,Robust Porter,129,83.28,1.057,1.016,5.41,24.84,39,83.28,60,1.055,25,N/A,Specific Gravity,extract,N/A,20,None/Forced Carbonation,N/A,
161,Golden Challenge,British Golden Ale,35,27,1.05,1.009,5.37,35.29,6.52,28,60,1.048,83,N/A,Specific Gravity,BIAB,0.75,19,N/A,N/A,52625
162,Caribou Slobber,American Brown Ale,6,18.93,1.051,1.014,4.8,15.59,25.1,9.46,60,N/A,100,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
163,Bakke Brygg Pale Ale 20 l,American Pale Ale,10,20,1.053,1.011,5.59,38.44,5.57,24,60,1.044,72,N/A,Specific Gravity,All Grain,N/A,18,Sukkerlake,6 g sukker/l,18325
164,#54 Amarillo Smash Pilsner,German Pilsner (Pils),81,14.38,1.056,1.014,5.53,25.8,3.32,15.14,30,1.053,35,N/A,Specific Gravity,extract,0.5,18.33,N/A,N/A,
165,Boulevard Pale Ale Clone,American Pale Ale,10,20.82,1.052,1.013,5.05,27.42,9.47,28.39,60,1.038,75,1.5,Specific Gravity,All Grain,1,19.44,N/A,N/A,5889
166,Uinta Wyld Clone CYBI recipe,American Pale Ale,10,20.82,1.054,1.013,5.45,11.93,6.52,28.39,90,N/A,70,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,993
167,Rodenbach Grand Cru Clone,Flanders Red Ale,71,21.77,1.06,1.005,7.22,18.07,15.25,31.23,60,1.042,73,1.3,Specific Gravity,All Grain,0.75,20,N/A,N/A,1569
168,Heavenweizen,Weizen/Weissbier,170,41.64,1.062,1.014,6.3,18.89,5.9,45.42,60,1.056,80,1.2,Specific Gravity,All Grain,0.5,22.22,N/A,N/A,
169,Basic Irish Red Ale,Irish Red Ale,92,18.93,1.053,1.015,5.03,28.85,16.42,24.61,90,1.041,75,1.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,482
170,Speidel #4 Lucky Jack APA,American Pale Ale,10,25,1.056,1.013,5.59,28.57,11.36,28,60,N/A,75,N/A,Specific Gravity,All Grain,0.75,N/A,N/A,N/A,10010
171,Raging Bitch Clone,Imperial IPA,86,20.82,1.088,1.023,8.53,75.14,12.22,26.5,90,N/A,65,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,955
172,St. Bernardus Abt. 12 Clone,Belgian Dark Strong Ale,21,11.36,1.102,1.025,10.21,21.56,40,12.3,60,1.095,20,N/A,Specific Gravity,extract,1.25,20,N/A,N/A,22270
173,Traditional Berliner Weisse,Berliner Weisse,27,41.64,1.039,1.01,3.87,6.13,2.89,53,45,N/A,72,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,380
174,Showing Her My O Face (Sam Adams Oktoberfest...,Oktoberfest/M�rzen,115,41.64,1.056,1.014,5.53,16.87,12.91,49.21,90,1.048,70,N/A,Specific Gravity,All Grain,1.5,15.56,Forced,12,15241
175,They Stole Our Fleg - Irish Red,Irish Red Ale,92,21,1.046,1.008,4.98,26.72,9.67,28,90,1.035,75,6.097,Specific Gravity,All Grain,N/A,20,N/A,N/A,5560
176,Honey Nut Cheerio,Northern English Brown,113,18.93,1.053,1.013,5.21,0,9.8,18.93,60,N/A,75,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
177,Helles Lager,Munich Helles,109,20.82,1.048,1.011,4.9,24.55,3.4,25.55,90,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,Keg,10 psi,
178,Raging Red Irish Red Ale,Irish Red Ale,92,20.82,1.055,1.015,5.22,34.36,15.23,28.39,60,1.035,72,1.5,Specific Gravity,All Grain,1,16.67,N/A,N/A,5889
179,Flowers & Wood - Farmhouse Saison,Saison,134,21,1.061,1.01,6.76,33.08,9.83,28,90,1.039,75,5.04,Specific Gravity,All Grain,N/A,21,N/A,N/A,5560
180,Victory Dirtwolf Clone,Imperial IPA,86,20.82,1.095,1.027,8.98,136.74,6.31,22.71,65,1.087,35,N/A,Specific Gravity,extract,N/A,20,N/A,N/A,
181,3 FLoyds Zombie Dust,American IPA,7,45.42,1.065,1.015,6.6,35.44,8.47,56.78,90,1.052,75,1.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
182,Sip of Sunshine Clone,American IPA,7,45.42,1.072,1.014,7.69,100.06,6.65,51.1,60,1.064,75,1.5,Specific Gravity,All Grain,N/A,17.78,N/A,N/A,
183,Nothing Fancy Milk Chocolate Stout,Sweet Stout,162,41.64,1.06,1.022,4.99,24.51,39.5,49.21,60,1.05,75,N/A,Specific Gravity,All Grain,N/A,N/A,Corn Sugar,4 OZ,
184,Asamushi Japanese Dry Pilsner,Classic American Pilsner,40,13.25,1.054,1.012,5.46,13.67,3.13,18.93,90,1.038,72,1.5,Specific Gravity,All Grain,1.5,11.11,N/A,N/A,
185,Bakke Brygg Wit 20 l,Witbier,175,20,1.047,1.01,4.9,14.36,3.54,25,90,1.038,73,N/A,Specific Gravity,All Grain,N/A,20,Sukkerlake,7 g sukker/l,18325
186,Traditional German Gose,Gueuze,83,41.64,1.049,1.01,5.11,12.23,4.47,49.21,90,N/A,72,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,380
187,NE IPA,American IPA,7,19.87,1.058,1.017,5.42,43.43,4.3,24.61,60,1.047,70,2,Specific Gravity,All Grain,0.75,20,N/A,N/A,39959
188,Farmhouse Saison Pepper/Lemon,Saison,134,41.64,1.05,1.01,5.27,31.51,3.37,56.78,90,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,380
189,Stone 15th anniversary esocdidian black ipa ...,Imperial IPA,86,18.93,1.11,1.031,10.37,164.95,40,24.61,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
190,Yeti Imperial Stout (Great Divide Clone),Russian Imperial Stout,132,20.82,1.09,1.019,9.26,88.9,50,24.61,60,1.076,70,1.3,Specific Gravity,All Grain,0.35,21.11,N/A,N/A,
191,Todd the Axe Man (Surly),American IPA,7,22.71,1.074,1.018,7.34,56.49,6.21,26.5,60,1.063,75,1.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,45924
192,Centennial Blonde,Blonde Ale,30,20.82,1.041,1.009,4.1,21.02,3.73,24.87,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,Dextrose,3.1 oz/5 gal,
193,Hop Cliff,N/A,111,18.93,1.093,1.023,9.12,0,14.07,18.93,60,N/A,75,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
194,Yorkshire Bitter,Special/Best/Premium Bitter,144,21,1.043,1.011,4.25,34.98,13.33,26.5,60,1.034,80,N/A,Specific Gravity,All Grain,0.75,18,N/A,N/A,401
195,Heady Topper Clone,Double IPA,56,20.82,1.076,1.015,8.03,162.53,6.04,26.5,90,1.054,66,1.3,Specific Gravity,All Grain,1,17.78,N/A,N/A,50283
196,Backwoods Bastard Clone,Strong Scotch Ale,160,22.71,1.107,1.033,10.94,64.49,31,32.18,120,1.076,75,1.25,Specific Gravity,All Grain,1.25,14.44,N/A,N/A,
197,Hibiscus Wheat,Weizen/Weissbier,170,37.85,1.058,1.014,5.78,22.17,9.1,45.42,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,1128
198,#44 Citra IPL,American IPA,7,19.31,1.061,1.011,6.5,75.44,9.89,24.61,30,1.048,35,N/A,Specific Gravity,extract,1.25,15.56,N/A,N/A,
199,Pineapple Hefeweizen,Weizen/Weissbier,170,20.82,1.054,1.013,5.28,16.9,6.68,28.39,60,1.039,70,N/A,Specific Gravity,All Grain,N/A,20,Corn Sugar,8 oz,
200,Cream of Three Crops,Cream Ale,45,20.82,1.044,1.012,4.15,18.13,2.56,17.03,90,N/A,75,N/A,Specific Gravity,BIAB,N/A,N/A,Dextrose,4.8 oz / 136 grams,
201,Bakke Brygg Saison 25L GAMMEL,Saison,134,25,1.06,1.008,6.77,24.46,5.28,30,90,1.05,72,N/A,Specific Gravity,All Grain,N/A,18,N/A,N/A,18325
202,Belgian Trippel,Belgian Tripel,26,18.93,1.087,1.021,8.69,45.4,5.38,28.39,90,1.058,65,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,
203,Chocolate cherry porter,Robust Porter,129,18.93,1.072,1.018,7.12,0,39.03,22.71,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
204,Any Colour You Like,American Pale Ale,10,23,1.054,1.01,5.77,36.64,5.65,28,60,1.044,78,3,Specific Gravity,All Grain,0.5,19,N/A,N/A,46027
205,Chocolate Orange Stout,Russian Imperial Stout,132,22.71,1.096,1.027,9.18,35.95,29.92,28.39,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,3750
206,Bruxelles Blonde Clone (?),Belgian Pale Ale,24,3.79,1.056,1.013,5.63,19.2,4.77,4.73,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,Honey,3 TB,2824
207,Chocolate Mint Stout,American Stout,12,7.57,1.087,1.025,8.08,50.44,31.77,9.46,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,Corn Sugar,42.9 g,
208,Sierra Navada Kellerweis Clone,Weizen/Weissbier,170,18.93,1.049,1.012,4.82,18.38,4.98,15.14,60,N/A,35,N/A,Specific Gravity,extract,0.35,24.44,Table Sugar,7oz or 14 Tbsp for 3.5 CO2,15224
209,Obsidian Stout,American Stout,12,22.71,1.069,1.017,6.75,58.76,40,29.34,90,1.053,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
210,Bell's Two Hearted Ale Clone,American IPA,7,22.71,1.07,1.016,6.99,67.84,6.96,30.28,75,1.052,70,1.25,Specific Gravity,All Grain,0.75,20,N/A,N/A,20984
211,Sleeper Street | Trillium Brewing  (approxim...,American IPA,7,21,1.067,1.014,6.91,73.25,4.96,25,60,1.056,73,N/A,Specific Gravity,BIAB,0.75,19,N/A,N/A,54364
212,West Coast CITRA IPA,American IPA,7,45.42,1.068,1.012,7.38,122.86,6.55,64.35,90,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,380
213,Plinian Legacy Double IPA,American IPA,7,22.71,1.076,1.018,7.64,67.76,5.85,30.28,90,1.057,75,1.75,Specific Gravity,All Grain,1,19.44,N/A,N/A,5889
214,Mint Chocolate Stout,American Stout,12,18.93,1.102,1.024,10.26,79.21,40,18.93,60,N/A,35,N/A,Specific Gravity,extract,N/A,N/A,Corn Sugar,4 oz,
215,Bad Bread,Weizen/Weissbier,170,60.57,1.046,1.011,4.58,12.04,3.33,71.92,60,1.039,70,1.5,Specific Gravity,All Grain,0.35,20,N/A,N/A,16682
216,Oktoberfest,Oktoberfest/M�rzen,115,20.82,1.062,1.015,6.06,50.58,9.25,26.5,90,N/A,70,N/A,Specific Gravity,All Grain,1.5,10,Keg,10psi,
217,White House Honey Porter (Official Recipe)...,Brown Porter,37,20.82,1.053,1.012,5.37,25.91,24.79,11.36,60,N/A,25,N/A,Specific Gravity,extract,N/A,N/A,Dextrose,3/4 Cup,
218,Focal Banger Clone,American IPA,7,20.82,1.066,1.013,6.98,125.78,6.75,26.5,90,1.052,66,1.3,Specific Gravity,All Grain,1,20,Forced Carbonation,N/A,50283
219,Belgian Tripel,Belgian Tripel,26,28.39,1.082,1.01,9.42,41.93,4.72,28.39,90,1.068,73,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,1569
220,Maple Bourbon Porter,Robust Porter,129,20.82,1.062,1.012,6.5,40.18,27.53,26.5,60,1.049,75,N/A,Specific Gravity,All Grain,0.75,20,Keg Carbonation,2.4 vols,
221,PALE ALE 2.0,American Pale Ale,10,21.77,1.057,1.017,5.29,57.28,8.4,26.5,60,1.047,73,2.96,Specific Gravity,All Grain,0.35,20,N/A,N/A,
222,Miller Lite Clone,American Light Lager,9,20.82,1.04,1.007,4.41,14.69,2.48,30.66,90,1.027,80,1.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
223,Heavy Hard Cherry Apple Cider,English Cider,64,18.93,1.063,1.001,8.11,0,7.17,18.93,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,2938
224,Irish Death Clone,Sweet Stout,162,20.82,1.105,1.026,10.3,59.26,40,24.61,60,N/A,75,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
225,' #1 Irish Red Ale (killians clone),Irish Red Ale,92,19.87,1.049,1.009,5.2,20.68,13.91,11.36,50,1.086,35,N/A,Specific Gravity,extract,0.35,18.33,corn sugar,N/A,
226,Pineapple Cider,Fruit Cider,76,20.82,1.047,1.012,4.59,1.19,11.54,28.39,0,1.034,85,N/A,Specific Gravity,All Grain,N/A,21.11,corn sugar,4oz,
227,Kristallweizen,Weizen/Weissbier,170,20.82,1.057,1.014,5.6,0,4.22,18.93,90,N/A,65,2,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
228,K�lsch,K�lsch,94,20.82,1.047,1.016,4.09,22.76,4.35,27.44,60,1.036,70,2,Specific Gravity,All Grain,0.75,15.56,N/A,N/A,39959
229,NixonBrew - Red Ipa - Flipside Clone,American IPA,7,18.93,1.071,1.013,7.54,79.63,14.8,26.5,60,1.051,75,N/A,Specific Gravity,All Grain,0.75,16.67,N/A,N/A,
230,Session IPA,American IPA,7,19.68,1.045,1.011,4.48,61.29,8.31,11.36,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
231,Sumpin' Like Little Sumpin' Sumpin' Wheat IP...,Imperial IPA,86,20,1.074,1.017,7.47,61.78,4.58,28.5,90,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,corn sugar,170g,1046
232,Bakke Brygg Belgisk Blond 20 l,Belgian Blond Ale,20,20,1.06,1.01,6.48,17.97,4.58,25,90,1.048,72,N/A,Specific Gravity,All Grain,N/A,19,Sukkerlake,6 5 g sukker/l,18325
233,White IPA,Imperial IPA,86,21.77,1.072,1.014,7.59,91.69,4.52,28.39,90,1.055,73,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,1569
234,Blackberry Wheat,Specialty Beer,145,22.71,1.053,1.013,5.24,17.79,5.16,11.36,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
235,Left Hand Milk Stout (Clone),American Stout,12,20.82,1.07,1.017,6.87,17.15,28.97,26.5,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,453
236,Four Pines Pale Ale,American Pale Ale,10,21,1.053,1.015,4.97,35.03,10.29,11,60,1.1,35,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,23391
237,Dry Pale Ale (Chinook/Cascade),American Pale Ale,10,41.64,1.054,1.011,5.57,69.49,5.39,60.57,90,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,380
238,Dogfish Head 90 Minute Clone,American IPA,7,22.71,1.079,1.018,7.98,0,7.34,30.28,90,1.059,75,1.75,Specific Gravity,All Grain,0.75,18.33,N/A,N/A,5889
239,Kilkenny Clone 5 GAL,Irish Red Ale,92,20.82,1.053,1.014,5.13,27.22,12.01,28.39,90,1.039,65,1.5,Specific Gravity,All Grain,0.5,20,N/A,N/A,
240,Ayinger Brau-Weisse Clone Small Batch,Weizen/Weissbier,170,7.57,1.052,1.013,5.13,14.42,4.01,7.57,60,N/A,35,N/A,Specific Gravity,extract,0.35,23.89,N/A,N/A,15224
241,BC Irish Red,Irish Red Ale,92,20,1.049,1.011,5.03,14.92,20.24,9,75,1.109,50,N/A,Specific Gravity,Partial Mash,N/A,21,N/A,N/A,
242,#41 English IPA,English IPA,65,20.63,1.064,1.012,6.79,79.58,5.11,24.61,60,1.054,35,N/A,Specific Gravity,extract,0.75,20,N/A,N/A,
243,Peach Wheat,Fruit Beer,75,22.71,1.053,1.013,5.25,24.54,6.32,28.39,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,Corn Sugar,7/8 cup,
244,Sleeman Cream Ale Clone,Cream Ale,45,20.8,1.055,1.015,5.22,19.73,4.74,28.4,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
245,Citrus Blonde,Blonde Ale,30,20.82,1.054,1.013,5.29,25.08,4.56,26.5,60,1.042,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,8363
246,Spring K�lsch,K�lsch,94,20.82,1.049,1.012,4.84,32.74,3.79,26.5,90,N/A,68,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
247,#56 Ringwood Romance,Altbier,1,9.46,1.055,1.015,5.23,21.66,4.41,11.36,30,1.046,35,N/A,Specific Gravity,extract,0.75,23.33,N/A,N/A,
248,The Great Pumpkin....Ale,Spice  Herb  or Vegetable Beer,155,20.82,1.06,1.017,5.7,30.37,13.41,11.36,60,1.111,25,N/A,Specific Gravity,extract,N/A,N/A,Corn Sugar,N/A,1116
249,Summer Citrus IPA,American IPA,7,19,1.064,1.016,6.32,0,6.84,23,60,N/A,64,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
250,Chocolate Hazelnut Porter,Brown Porter,37,22.71,1.069,1.017,6.77,38.63,40,28.39,90,1.055,85,1.75,Specific Gravity,All Grain,0.75,19.44,Keg,N/A,
251,Dreaded  Southern Brown Ale - Maris Otter...,Southern English Brown,143,45.42,1.056,1.015,5.42,16.31,20.14,51.1,75,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,14477
252,Bone Dry Belgian Blonde,Belgian Blond Ale,20,25.36,1.052,1.002,6.54,24.31,3.87,33.5,90,1.032,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
253,Nice Little Porter,Brown Porter,37,18.93,1.052,1.012,5.25,32.79,22.69,22.71,60,N/A,75,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,314
254,Cascanookitra,Imperial IPA,86,20.82,1.075,1.014,7.95,64.87,12.08,29.53,75,1.053,75,2,Specific Gravity,All Grain,1,18.33,N/A,N/A,
255,Vanilla Coffee Stout,American Stout,12,18.93,1.05,1.013,4.85,0,32.15,24.61,60,N/A,72,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
256,Blue Moon Clone,Witbier,175,20.82,1.035,1.008,3.48,29.43,2.9,11.36,60,N/A,35,N/A,Specific Gravity,extract,0.35,N/A,sugar,N/A,
257,120 Minute IPA Clone,Imperial IPA,86,39.75,1.189,1.038,19.85,165.28,6.79,47.32,120,1.159,80,N/A,Specific Gravity,All Grain,1,N/A,N/A,N/A,5889
258,Citra SMaSH,American Pale Ale,10,18.93,1.065,1.018,6.12,38.79,3.99,22.71,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,16.67,N/A,N/A,
